67.3	611.2	46.8	28.8	track
30.0	557.0	38.0	42.0	redetect
32.0	560.5	35.0	43.8	track
32.3	564.4	34.8	44.2	track
32.6	568.7	34.7	43.8	track
33.2	573.1	34.8	43.8	track
33.6	577.2	34.2	44.2	track
33.3	580.7	34.1	44.4	track
33.1	584.0	34.3	44.2	track
33.4	587.6	34.8	44.5	track
33.7	590.7	33.9	44.6	track
33.7	594.9	34.3	42.5	track
34.0	598.4	34.2	39.5	track
34.1	602.0	34.8	37.8	track
34.6	604.6	35.0	35.4	track
33.5	607.6	35.4	32.4	track
33.7	610.6	34.9	29.4	track
32.6	612.8	35.4	27.2	track
33.0	614.2	33.6	25.8	track
31.3	616.2	35.9	23.8	track
31.5	617.5	35.1	22.5	track
45.0	593.0	38.0	42.0	redetect
45.6	594.7	36.5	42.7	track
45.3	597.2	36.1	40.6	track
45.8	598.4	36.2	39.2	track
45.5	601.0	34.9	38.3	track
44.9	602.1	34.6	36.6	track
44.6	603.5	34.4	35.9	track
44.8	604.2	33.7	35.4	track
44.2	606.1	32.8	33.9	track
43.8	607.0	31.2	32.8	track
44.3	608.2	31.9	31.8	track
43.1	609.0	31.5	30.8	track
42.4	609.4	31.6	30.5	track
42.1	610.9	30.6	29.1	track
44.3	612.4	28.6	27.6	track
42.6	611.6	28.7	28.3	track
43.0	612.0	27.8	27.8	track
42.3	612.3	27.4	27.6	track
41.9	612.6	27.0	27.1	track
42.1	613.3	26.8	26.4	track
42.5	613.5	25.8	26.5	track
42.0	613.7	25.6	26.3	track
41.8	613.6	25.5	26.4	track
41.1	613.8	25.5	26.2	track
41.1	614.3	25.9	25.7	track
41.8	613.9	25.3	26.1	track
40.7	614.3	25.5	25.7	track
40.8	613.8	25.5	26.1	track
40.4	614.0	24.9	25.7	track
40.9	613.5	25.3	26.5	track
39.6	614.3	25.1	25.2	track
39.8	614.1	25.1	25.9	track
39.6	613.4	25.7	26.4	track
39.1	613.2	26.1	26.8	track
39.2	613.4	25.8	26.2	track
39.3	614.2	25.0	25.8	track
38.4	614.1	25.6	25.8	track
38.4	613.6	25.9	26.2	track
37.7	613.5	26.0	26.5	track
38.1	613.4	26.1	26.6	track
37.2	612.9	26.6	26.9	track
37.8	614.6	25.5	25.4	track
37.1	614.2	26.0	25.8	track
37.3	613.6	26.0	26.4	track
38.0	618.0	38.0	42.0	redetect
-19.0	577.0	38.0	42.0	redetect
0.0	524.2	10.0	105.2	track
49.0	499.0	38.0	42.0	redetect
126.0	512.0	38.0	42.0	redetect
132.0	517.6	27.3	50.3	track
133.1	521.0	25.1	44.9	track
134.1	519.0	23.7	45.2	track
134.4	517.6	21.9	48.1	track
134.1	514.9	22.7	49.8	track
132.0	523.0	24.6	44.8	track
133.8	521.7	24.0	44.1	track
133.9	516.5	22.7	48.6	track
101.0	446.0	38.0	42.0	redetect
99.3	446.7	40.6	38.8	track
99.7	445.7	39.2	40.4	track
100.4	445.9	38.3	41.3	track
99.1	446.1	39.9	39.6	track
100.1	445.8	37.2	42.6	track
98.7	447.2	39.9	39.5	track
100.6	446.4	38.2	41.9	track
99.0	447.1	40.8	38.8	track
99.6	446.7	39.9	39.5	track
100.6	445.8	37.8	41.7	track
100.4	447.1	38.6	40.2	track
99.6	447.7	40.2	38.4	track
99.6	447.4	40.2	38.4	track
99.6	447.2	40.2	38.4	track
100.3	446.6	38.2	41.6	track
99.7	448.3	40.5	38.4	track
100.5	447.1	39.4	38.5	track
101.1	446.5	37.8	41.4	track
99.6	447.8	40.5	37.8	track
100.9	446.9	38.3	40.6	track
99.8	447.8	40.4	38.3	track
99.7	447.6	40.5	38.1	track
99.7	447.3	40.5	38.1	track
