14.60	483.67	28.47	33.01
13.30	483.37	30.23	31.31
14.90	484.70	28.76	30.48
12.89	485.12	30.22	32.94
11.58	483.63	31.34	33.59
13.46	483.84	29.58	31.80
11.43	484.81	30.89	33.37
13.27	482.37	28.50	35.51
9.51	484.33	32.42	33.26
11.69	483.04	29.74	34.30
9.56	483.83	31.69	33.52
10.18	483.15	30.25	36.09
11.42	482.19	29.78	35.61
6.86	484.89	33.73	33.67
10.13	482.42	29.33	35.68
7.97	483.82	32.95	33.49
8.55	482.67	32.07	33.99
8.35	482.72	32.18	34.41
9.19	481.84	31.32	34.50
5.65	483.85	33.14	33.87
8.52	482.33	30.13	33.35
5.87	482.60	32.42	33.51
9.23	482.94	28.92	33.69
2.33	483.68	34.93	35.36
6.00	482.16	30.23	35.73
8.00	481.42	28.97	35.00
5.22	482.24	32.77	34.19
5.79	481.95	32.26	33.94
6.42	482.04	31.93	33.96
4.38	482.32	33.17	33.77
5.30	481.41	32.10	33.38
4.29	482.13	32.27	32.39
6.68	481.72	29.84	32.66
2.30	483.12	33.74	32.89
5.14	479.84	29.80	36.86
3.07	481.32	32.45	33.37
5.78	481.33	29.86	33.36
2.02	482.29	33.42	33.11
3.64	480.39	31.97	34.50
3.06	482.92	32.24	32.94
1.80	481.36	33.16	34.72
4.20	480.67	31.65	33.99
1.86	481.79	32.79	35.42
1.49	480.56	33.29	35.54
2.40	481.42	32.25	34.62
0.75	480.81	33.64	35.63
0.37	481.45	33.39	35.91
0.52	480.52	33.28	36.64
0.89	481.00	33.07	36.85
1.13	481.47	33.24	36.80
0.56	480.31	32.45	37.82
1.39	480.47	32.68	36.75
0.56	481.86	32.28	37.54
0.31	479.90	33.26	39.07
0.99	480.95	32.64	37.44
4.33	447.79	29.91	31.83
0.50	419.78	25.77	33.25
0.00	420.45	23.50	35.71
0.03	454.89	27.00	27.73
0.00	460.13	22.94	30.29
0.82	464.94	21.19	33.41
0.00	464.41	19.92	39.85
30.90	450.45	29.40	31.07
24.03	456.35	31.85	32.07
19.27	462.06	32.06	33.06
18.95	467.77	29.51	34.75
13.31	474.07	29.10	33.99
11.43	480.98	29.47	33.12
6.74	484.84	29.47	36.68
4.89	490.48	30.22	33.83
2.99	493.13	30.77	36.23
3.67	493.28	29.93	32.23
3.67	493.61	28.69	32.13
3.05	493.62	29.00	32.02
2.65	493.50	28.89	31.98
3.85	493.71	28.29	34.03
4.04	493.50	28.87	32.49
2.59	494.41	29.04	32.42
2.96	493.63	28.79	32.72
3.12	494.44	29.02	32.74
2.98	493.83	28.44	31.31
3.68	494.24	28.60	33.77
4.02	493.28	28.82	31.79
3.26	494.75	29.15	32.34
3.44	494.19	29.27	32.50
2.63	493.95	30.17	32.68
2.37	493.17	30.14	33.14
2.91	493.04	30.13	33.92
2.64	492.79	30.02	33.41
3.13	492.80	30.11	33.92
2.86	492.55	30.02	33.41
3.08	492.56	30.02	33.99
2.52	492.40	29.92	33.40
2.70	492.41	30.03	33.98
2.05	494.02	30.02	34.10
2.74	493.05	30.24	33.76
2.23	494.65	29.96	33.72
2.67	493.97	29.76	33.89
2.21	496.67	28.10	33.16
2.53	497.31	28.62	33.25
2.22	498.72	29.10	33.26
2.71	499.91	28.90	33.44
2.07	502.03	28.65	33.85
2.16	503.50	28.90	33.67
2.45	504.53	28.82	33.60
3.09	507.09	27.90	33.81
1.91	509.31	28.65	34.30
2.78	511.45	28.74	34.49
2.37	511.89	29.88	34.06
3.17	515.60	28.24	36.43
1.70	517.67	29.72	33.79
2.65	520.35	27.79	35.94
2.39	522.13	28.18	35.96
3.58	525.45	26.78	40.04
2.36	527.38	28.61	36.47
2.00	530.87	27.73	36.46
2.49	534.02	27.18	38.21
2.47	537.00	28.01	35.56
3.24	541.03	27.38	37.91
3.55	544.58	26.95	37.06
1.89	547.27	28.16	35.60
4.54	551.00	27.28	39.03
2.74	554.97	27.67	35.66
3.10	558.50	27.81	39.13
3.41	563.33	28.42	35.82
3.76	566.88	27.61	37.67
2.56	570.99	28.29	35.27
4.40	575.08	27.83	38.45
2.17	577.65	29.46	35.64
3.39	581.61	29.23	39.03
3.04	582.30	29.63	35.60
2.66	582.77	29.91	33.64
2.97	583.47	29.70	32.51
2.33	583.30	29.23	32.44
1.76	582.30	29.24	30.64
1.88	581.22	29.66	33.99
1.44	581.74	30.35	34.72
1.46	582.31	33.87	38.90
4.73	583.56	44.59	53.44
7.75	544.69	51.63	43.92
6.72	543.26	52.02	46.61
9.27	497.91	60.21	60.16
37.42	443.20	57.49	68.43
30.48	447.09	63.28	68.00
31.59	452.38	60.13	67.48
30.24	457.49	62.19	68.04
29.60	462.46	60.86	68.54
29.68	467.72	60.48	69.47
32.23	475.05	57.54	69.95
29.80	482.97	59.44	66.27
31.02	488.31	57.32	66.73
27.12	491.74	61.08	68.70
33.00	499.24	55.05	67.00
28.03	504.63	59.18	66.73
30.69	510.85	56.33	65.39
28.84	514.50	58.82	67.62
30.88	520.24	56.24	66.05
29.21	523.58	60.05	69.62
30.16	528.29	58.24	68.47
28.35	532.19	60.56	69.91
32.22	537.07	56.15	69.14
29.73	541.94	58.62	68.81
30.29	546.92	57.60	68.28
27.25	549.20	64.39	70.78
29.76	553.12	61.66	67.37
27.55	556.41	62.75	67.35
28.14	556.66	62.94	74.51
29.90	558.79	62.02	75.15
30.49	558.54	65.78	78.59
27.31	564.60	77.91	72.25
26.93	569.94	84.56	69.75
22.97	566.18	82.04	71.41
23.56	571.89	94.97	67.44
21.84	569.05	79.76	70.95
25.39	572.08	80.09	67.11
28.42	573.34	85.23	66.29
15.97	561.70	85.22	76.05
15.24	568.16	103.27	71.84
8.48	564.71	94.53	72.60
10.49	558.80	113.89	79.88
44.90	488.68	170.76	117.60
63.54	429.18	259.03	181.82
86.08	274.15	196.00	309.01
10.46	207.42	281.56	265.42
21.00	40.00	285.39	268.82
9.17	54.43	332.19	326.73
0.00	33.97	314.93	319.80
2.33	41.68	320.99	341.88
13.13	12.99	332.79	316.82
14.75	70.01	333.92	313.29
0.00	29.10	303.56	307.90
11.81	41.59	324.09	323.45
7.64	12.88	286.52	315.72
24.16	33.81	305.77	301.43
5.49	38.76	343.97	322.09
0.00	55.75	330.54	349.24
9.15	22.91	326.37	325.04
0.00	130.33	332.62	277.13
0.56	44.77	315.13	342.38
10.93	19.99	323.91	314.28
1.59	83.60	330.68	317.23
11.55	25.73	322.44	318.63
0.00	95.96	338.03	316.12
0.00	88.72	336.30	338.68
3.74	64.47	343.92	331.90
6.29	38.33	341.18	329.25
0.00	48.86	328.30	361.37
6.26	19.34	324.06	322.17
15.47	89.56	318.82	295.34
5.30	28.81	312.88	297.50
18.45	53.79	328.07	319.49
0.00	60.59	305.16	320.64
13.46	54.82	317.54	279.86
0.00	30.95	324.09	310.50
4.32	79.01	334.56	351.49
5.84	41.58	320.47	333.18
5.53	14.20	308.83	312.91
7.25	40.51	327.74	334.59
8.23	38.82	309.48	335.99
3.63	13.50	312.62	314.81
13.57	40.87	329.92	329.34
1.01	54.91	322.38	318.71
8.79	16.60	320.23	321.45
3.15	76.67	334.77	316.35
10.90	22.36	321.56	330.95
0.00	54.68	284.00	300.44
1.90	201.00	299.59	381.37
0.00	145.37	333.21	448.42
17.06	67.42	342.94	492.83
17.92	39.22	342.08	523.44
0.00	68.83	356.34	508.21
1.59	49.72	331.93	548.80
0.00	48.34	360.00	523.34
0.00	72.77	347.07	513.81
9.94	38.98	329.70	552.20
0.60	63.42	344.36	543.32
0.79	59.53	340.30	567.30
0.00	47.99	337.47	550.45
0.00	17.56	342.78	572.38
0.00	61.18	341.42	553.56
12.56	40.20	328.19	561.97
4.48	23.44	332.11	574.68
0.00	43.15	340.68	554.84
9.29	58.01	345.59	527.19
4.71	29.29	345.81	543.92
0.00	49.73	343.74	558.99
0.00	37.43	335.46	563.76
0.00	67.23	347.91	511.73
0.00	49.82	345.24	515.11
2.69	56.33	331.39	551.45
1.87	45.95	353.19	542.04
0.00	52.33	330.28	548.87
